fid,gridID,x,y,deploy_date,ended_date,siteID,year,site_year
1,C1001,524363.2767,3152983.214,1/1/2017,1/30/2017,ST019,2017,ST019_2017
2,C1001,524363.2767,3152983.214,1/10/2018,2/10/2018,ST019,2018,ST019_2018
3,C1001,524363.2767,3152983.214,1/1/2021,2/1/2021,ST019,2021,ST019_2021
4,C1002,526363.2767,3158983.214,1/1/2017,1/30/2017,ST027,2017,ST027_2017
5,C1002,526363.2767,3158983.214,1/10/2018,2/10/2018,ST027,2018,ST027_2018
6,C1002,526363.2767,3158983.214,1/1/2021,2/1/2021,ST027,2021,ST027_2021
7,C1003,530363.2767,3164983.214,1/1/2017,1/30/2017,ST048,2017,ST048_2017
8,C1003,530363.2767,3164983.214,1/10/2018,2/10/2018,ST048,2018,ST048_2018
9,C1003,530363.2767,3164983.214,1/1/2021,2/1/2021,ST048,2021,ST048_2021
10,C1004,534363.2767,3158983.214,1/2/2017,1/31/2017,ST072,2017,ST072_2017
11,C1004,534363.2767,3158983.214,1/5/2018,2/10/2018,ST072,2018,ST072_2018
12,C1004,534363.2767,3158983.214,1/1/2021,2/1/2021,ST072,2021,ST072_2021
13,C1005,536363.2767,3162983.214,1/2/2017,1/31/2017,ST083,2017,ST083_2017
14,C1005,536363.2767,3162983.214,1/10/2018,2/10/2018,ST083,2018,ST083_2018
15,C1005,536363.2767,3162983.214,1/1/2021,2/1/2021,ST083,2021,ST083_2021
16,C1006,536363.2767,3150983.214,1/2/2017,1/31/2017,ST089,2017,ST089_2017
17,C1006,536363.2767,3150983.214,1/10/2018,2/10/2018,ST089,2018,ST089_2018
18,C1006,536363.2767,3150983.214,1/1/2021,2/1/2021,ST089,2021,ST089_2021
19,C1007,540363.2767,3156983.214,1/2/2017,1/31/2017,ST112,2017,ST112_2017
20,C1007,540363.2767,3156983.214,1/10/2018,2/10/2018,ST112,2018,ST112_2018
21,C1007,540363.2767,3156983.214,1/3/2021,2/4/2021,ST112,2021,ST112_2021
22,C1008,540363.2767,3146983.214,1/2/2017,1/31/2017,ST117,2017,ST117_2017
23,C1008,540363.2767,3146983.214,1/10/2018,2/10/2018,ST117,2018,ST117_2018
24,C1008,540363.2767,3146983.214,1/3/2021,2/4/2021,ST117,2021,ST117_2021
25,C1009,544363.2767,3150983.214,1/1/2017,2/3/2017,ST141,2017,ST141_2017
26,C1009,544363.2767,3150983.214,1/11/2018,2/12/2018,ST141,2018,ST141_2018
27,C1009,544363.2767,3150983.214,1/3/2021,2/4/2021,ST141,2021,ST141_2021
28,C1010,544363.2767,3142983.214,1/1/2017,2/3/2017,ST145,2017,ST145_2017
29,C1010,544363.2767,3142983.214,1/11/2018,2/12/2018,ST145,2018,ST145_2018
30,C1010,544363.2767,3142983.214,1/3/2021,2/4/2021,ST145,2021,ST145_2021
31,C1011,548363.2767,3146983.214,1/5/2017,2/6/2017,ST169,2017,ST169_2017
32,C1011,548363.2767,3146983.214,1/5/2018,2/12/2018,ST169,2018,ST169_2018
33,C1011,548363.2767,3146983.214,1/3/2021,2/4/2021,ST169,2021,ST169_2021
34,C1012,548363.2767,3138983.214,1/5/2017,2/6/2017,ST173,2017,ST173_2017
35,C1012,548363.2767,3138983.214,1/11/2018,2/12/2018,ST173,2018,ST173_2018
36,C1012,548363.2767,3138983.214,1/1/2021,2/4/2021,ST173,2021,ST173_2021
37,C1013,550363.2767,3148983.214,1/5/2017,2/6/2017,ST181,2017,ST181_2017
38,C1013,550363.2767,3148983.214,1/11/2018,2/12/2018,ST181,2018,ST181_2018
39,C1013,550363.2767,3148983.214,1/3/2021,2/4/2021,ST181,2021,ST181_2021
40,C1014,550363.2767,3134983.214,1/5/2017,2/6/2017,ST188,2017,ST188_2017
41,C1014,550363.2767,3134983.214,1/11/2018,2/12/2018,ST188,2018,ST188_2018
42,C1014,550363.2767,3134983.214,1/3/2021,2/4/2021,ST188,2021,ST188_2021
43,C1015,552363.2767,3142983.214,1/2/2017,2/6/2017,ST196,2017,ST196_2017
44,C1015,552363.2767,3142983.214,1/11/2018,2/12/2018,ST196,2018,ST196_2018
45,C1015,552363.2767,3142983.214,1/4/2021,2/5/2021,ST196,2021,ST196_2021
46,C1016,554363.2767,3136983.214,1/5/2017,2/6/2017,ST211,2017,ST211_2017
47,C1016,554363.2767,3136983.214,1/11/2018,2/12/2018,ST211,2018,ST211_2018
48,C1016,554363.2767,3136983.214,1/4/2021,2/5/2021,ST211,2021,ST211_2021
49,C1017,556363.2767,3146983.214,1/5/2017,2/6/2017,ST217,2017,ST217_2017
50,C1017,556363.2767,3146983.214,1/10/2018,2/13/2018,ST217,2018,ST217_2018
51,C1017,556363.2767,3146983.214,1/4/2021,2/5/2021,ST217,2021,ST217_2021
52,C1018,558363.2767,3132983.214,1/5/2017,2/6/2017,ST235,2017,ST235_2017
53,C1018,558363.2767,3132983.214,1/12/2018,2/13/2018,ST235,2018,ST235_2018
54,C1018,558363.2767,3132983.214,1/4/2021,2/5/2021,ST235,2021,ST235_2021
55,C1019,560363.2767,3140983.214,1/6/2017,2/7/2017,ST241,2017,ST241_2017
56,C1019,560363.2767,3140983.214,1/12/2018,2/13/2018,ST241,2018,ST241_2018
57,C1019,560363.2767,3140983.214,1/4/2021,2/5/2021,ST241,2021,ST241_2021
58,C1020,562363.2767,3134983.214,1/6/2017,2/7/2017,ST253,2017,ST253_2017
59,C1020,562363.2767,3134983.214,1/12/2018,2/13/2018,ST253,2018,ST253_2018
60,C1020,562363.2767,3134983.214,1/4/2021,2/5/2021,ST253,2021,ST253_2021
