Sno,datetime,gridID,year,siteID,site_year
1,1/1/2017 16:44,C1001,2017,ST019,ST019_2017
2,2/3/2021 22:41,C1001,2021,ST019,ST019_2021
3,1/1/2017 16:44,C1001,2017,ST019,ST019_2017
4,1/1/2017 16:44,C1001,2017,ST019,ST019_2017
5,1/10/2017 11:38,C1001,2017,ST019,ST019_2017
6,1/10/2017 11:38,C1001,2017,ST019,ST019_2017
7,1/27/2018 5:50,C1001,2018,ST019,ST019_2018
8,1/30/2021 17:50,C1001,2021,ST019,ST019_2021
9,2/3/2021 22:41,C1001,2021,ST019,ST019_2021
10,1/27/2018 17:17,C1002,2018,ST027,ST027_2018
11,1/27/2018 17:17,C1002,2018,ST027,ST027_2018
12,1/30/2021 17:50,C1002,2021,ST027,ST027_2021
13,1/25/2018 19:58,C1003,2018,ST048,ST048_2018
14,1/8/2018 18:05,C1004,2018,ST072,ST072_2018
15,1/9/2017 11:41,C1004,2017,ST072,ST072_2017
16,1/8/2018 18:06,C1004,2018,ST072,ST072_2018
17,1/31/2021 0:15,C1005,2021,ST083,ST083_2021
18,1/31/2021 0:15,C1005,2021,ST083,ST083_2021
19,1/31/2021 0:15,C1005,2021,ST083,ST083_2021
20,2/1/2018 13:59,C1007,2018,ST112,ST112_2018
21,1/2/2017 18:02,C1008,2017,ST117,ST117_2017
22,2/1/2018 14:00,C1008,2018,ST117,ST117_2018
23,2/8/2018 4:46,C1008,2018,ST117,ST117_2018
24,1/31/2021 16:57,C1008,2021,ST117,ST117_2021
25,1/12/2021 6:05,C1008,2021,ST117,ST117_2021
26,1/2/2017 18:02,C1009,2017,ST141,ST141_2017
27,1/1/2017 16:49,C1010,2017,ST145,ST145_2017
28,1/1/2017 16:49,C1010,2017,ST145,ST145_2017
29,1/1/2017 16:49,C1010,2017,ST145,ST145_2017
30,1/10/2017 11:44,C1010,2017,ST145,ST145_2017
31,1/10/2017 11:44,C1010,2017,ST145,ST145_2017
32,1/3/2017 17:05,C1010,2017,ST145,ST145_2017
33,1/10/2017 11:44,C1010,2017,ST145,ST145_2017
34,2/9/2018 2:13,C1010,2018,ST145,ST145_2018
35,2/9/2021 19:27,C1010,2021,ST145,ST145_2021
36,2/13/2021 19:23,C1010,2021,ST145,ST145_2021
37,2/6/2021 5:07,C1010,2021,ST145,ST145_2021
38,1/8/2018 8:08,C1011,2018,ST169,ST169_2018
39,1/18/2018 21:07,C1011,2018,ST169,ST169_2018
40,1/26/2018 2:49,C1011,2018,ST169,ST169_2018
41,1/11/2018 14:28,C1012,2018,ST173,ST173_2018
42,1/27/2018 5:49,C1012,2018,ST173,ST173_2018
43,1/2/2021 18:29,C1012,2021,ST173,ST173_2021
44,1/5/2021 4:35,C1012,2021,ST173,ST173_2021
45,2/6/2021 5:07,C1012,2021,ST173,ST173_2021
46,1/31/2017 6:01,C1012,2017,ST173,ST173_2017
47,1/31/2017 6:01,C1012,2017,ST173,ST173_2017
48,1/9/2017 5:03,C1012,2017,ST173,ST173_2017
49,1/9/2017 5:03,C1012,2017,ST173,ST173_2017
50,1/9/2017 5:03,C1012,2017,ST173,ST173_2017
51,1/11/2017 1:06,C1012,2017,ST173,ST173_2017
52,1/19/2018 7:32,C1013,2018,ST181,ST181_2018
53,1/3/2017 17:00,C1015,2017,ST196,ST196_2017
54,1/13/2018 17:18,C1015,2018,ST196,ST196_2018
55,1/13/2018 17:19,C1015,2018,ST196,ST196_2018
56,1/15/2018 15:46,C1015,2018,ST196,ST196_2018
57,1/15/2018 15:46,C1015,2018,ST196,ST196_2018
58,1/15/2018 15:46,C1015,2018,ST196,ST196_2018
59,1/15/2018 15:46,C1015,2018,ST196,ST196_2018
60,1/9/2017 11:41,C1016,2017,ST211,ST211_2017
61,1/9/2017 11:41,C1016,2017,ST211,ST211_2017
62,1/9/2017 11:41,C1016,2017,ST211,ST211_2017
63,1/11/2018 10:02,C1017,2018,ST217,ST217_2018
64,1/19/2018 7:30,C1017,2018,ST217,ST217_2018
65,1/19/2018 7:31,C1017,2018,ST217,ST217_2018
66,1/19/2018 7:35,C1017,2018,ST217,ST217_2018
67,1/7/2021 12:55,C1017,2021,ST217,ST217_2021
68,2/8/2018 23:19,C1018,2018,ST235,ST235_2018
69,2/7/2018 16:20,C1019,2018,ST241,ST241_2018
70,1/10/2021 15:49,C1019,2021,ST241,ST241_2021
71,1/15/2021 0:40,C1019,2021,ST241,ST241_2021
72,1/15/2021 1:43,C1019,2021,ST241,ST241_2021
73,1/19/2018 11:01,C1020,2018,ST253,ST253_2018
74,1/19/2018 11:01,C1020,2018,ST253,ST253_2018
75,1/25/2018 19:59,C1020,2018,ST253,ST253_2018
