siteID,dist_set_2015,dist_set_2018,dist_set_2020
ST019,1819.190797,1831.878712,1819.190797
ST027,2354.879533,2473.083487,2354.879533
ST048,3138.449648,3335.899757,3138.449648
ST072,4983.140089,5278.365663,4983.140089
ST083,2649.593046,2761.889412,2649.593046
ST089,3385.539512,3481.113224,3385.539512
ST112,3504.394,3583.025619,3503.869205
ST117,3654.869757,4209.142278,3654.869757
ST141,7330.477228,7641.944089,7330.477228
ST145,3577.893234,5731.667339,3577.893234
ST169,5556.841266,5556.841266,5556.841266
ST173,2836.220224,3736.284701,2836.220224
ST181,4263.858569,4331.781407,4263.858569
ST188,1455.185715,2419.569143,1455.185715
ST196,1396.718323,1699.813229,1396.718323
ST211,2563.744594,2874.03992,2563.744594
ST217,2691.613968,2997.860425,2691.613968
ST235,3162.74142,3447.643734,3144.594387
ST241,1447.418664,5113.900919,1447.418664
ST253,4090.673932,5383.227933,4090.427626
